TOTALS: 9 of 9 Precincts ,RegisteredVoters,BallotsCast,Turnout,SheldonDeKryger,PeterRicketson,WriteIn
Totals,16306,7975,48%,3220,2709,133
Wyoming  Ward 1  Precinct 1,1870,915,48%,375,313,16
Wyoming  Ward 1  Precinct 2,1311,535,40%,200,205,9
Wyoming  Ward 1  Precinct 3,2130,940,44%,365,312,19
Wyoming  Ward 1  Precinct 4,2019,1071,53%,413,374,18
Wyoming  Ward 1  Precinct 5,2086,1037,49%,429,331,19
Wyoming  Ward 1  Precinct 6,1502,729,48%,277,296,14
Wyoming  Ward 1  Precinct 7,1890,1143,60%,571,266,10
Wyoming  Ward 1  Precinct 8,1230,576,46%,164,254,7
Wyoming  Ward 1  Precinct 9,2268,1029,45%,426,358,21
