TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,JackPoll,WriteIn
Totals,50378,26960,53%,20136,707
Wyoming  Ward 1  Precinct 1,1870,915,48%,678,26
Wyoming  Ward 1  Precinct 2,1311,535,40%,393,25
Wyoming  Ward 1  Precinct 3,2130,940,44%,704,34
Wyoming  Ward 1  Precinct 4,2019,1071,53%,826,11
Wyoming  Ward 1  Precinct 5,2086,1037,49%,803,28
Wyoming  Ward 1  Precinct 6,1502,729,48%,571,25
Wyoming  Ward 1  Precinct 7,1890,1143,60%,883,21
Wyoming  Ward 1  Precinct 8,1230,576,46%,412,16
Wyoming  Ward 1  Precinct 9,2268,1029,45%,792,32
Wyoming  Ward 2  Precinct 10,1478,665,44%,517,22
Wyoming  Ward 2  Precinct 11,1351,568,42%,397,37
Wyoming  Ward 2  Precinct 12,1280,508,39%,368,25
Wyoming  Ward 2  Precinct 13,1666,873,52%,676,21
Wyoming  Ward 2  Precinct 14,1166,666,57%,527,13
Wyoming  Ward 2  Precinct 15,968,530,54%,406,13
Wyoming  Ward 2  Precinct 16,1352,771,57%,597,15
Wyoming  Ward 2  Precinct 17,1923,793,41%,561,45
Wyoming  Ward 2  Precinct 18,1211,667,55%,507,19
Wyoming  Ward 2  Precinct 19,1853,1047,56%,758,35
Wyoming  Ward 2  Precinct 20,1939,1002,51%,743,41
Wyoming  Ward 3  Precinct 21,2306,1266,54%,946,29
Wyoming  Ward 3  Precinct 22,1327,781,58%,572,31
Wyoming  Ward 3  Precinct 23,2223,1060,47%,771,32
Wyoming  Ward 3  Precinct 24,2330,1202,51%,893,15
TOTALS: 30 of 30 Precincts ,RegisteredVoters,BallotsCast,Turnout,JackPoll,WriteIn
Wyoming  Ward 3  Precinct 25,1673,1175,70%,846,17
Wyoming  Ward 3  Precinct 26,1254,791,63%,592,8
Wyoming  Ward 3  Precinct 27,1233,767,62%,544,16
Wyoming  Ward 3  Precinct 28,1984,1344,67%,1004,20
Wyoming  Ward 3  Precinct 29,1566,1104,70%,812,16
Wyoming  Ward 3  Precinct 30,1989,1405,70%,1037,19
