TOTALS: 18 of 18 Precincts ,RegisteredVoters,BallotsCast,Turnout,BrianD.Jirous,WriteIn
Totals,29483,13272,45%,9255,762
Grandville  Precinct 6,1655,3,0%,3,0
Wyoming  Ward 1  Precinct 4,2019,1071,53%,751,56
Wyoming  Ward 1  Precinct 7,1890,1000,52%,685,37
Wyoming  Ward 1  Precinct 8,1230,1,0%,1,0
Wyoming  Ward 1  Precinct 9,2268,772,34%,569,46
Wyoming  Ward 2  Precinct 13,1666,873,52%,632,47
Wyoming  Ward 2  Precinct 14,1166,666,57%,483,75
Wyoming  Ward 2  Precinct 15,968,530,54%,378,31
Wyoming  Ward 2  Precinct 16,1352,771,57%,514,31
Wyoming  Ward 2  Precinct 17,1923,793,41%,549,48
Wyoming  Ward 2  Precinct 18,1211,667,55%,479,31
Wyoming  Ward 2  Precinct 19,1853,458,24%,323,25
Wyoming  Ward 2  Precinct 20,1939,1002,51%,719,67
Wyoming  Ward 3  Precinct 21,2306,1266,54%,886,79
Wyoming  Ward 3  Precinct 22,1327,781,58%,530,42
Wyoming  Ward 3  Precinct 23,2223,1060,47%,711,67
Wyoming  Ward 3  Precinct 26,1254,791,63%,546,39
Wyoming  Ward 3  Precinct 27,1233,767,62%,496,41
