"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"1","Ada Township Precinct 1",1184,871,0.73,399,442,19,396,439,19,335,481,30,389,465,9,344,482,20,354,472,16,367,442,20,629,772,91,564,787,82,598,767,74,557,745,66,321,454,0,1
"2","Ada Township Precinct 2",2221,1588,0.71,731,809,36,709,809,26,641,840,49,706,856,11,615,907,21,650,871,30,635,824,49,1177,1377,167,1060,1358,172,1111,1356,109,992,1311,118,604,827,0,2
"3","Ada Township Precinct 3",1308,942,0.72,386,525,23,366,530,23,348,539,22,367,558,7,341,554,24,357,535,21,356,517,26,594,964,95,549,960,100,574,945,84,530,934,80,318,534,0,3
"4","Ada Township Precinct 4",1038,785,0.75,265,499,11,262,494,15,226,515,24,267,502,7,258,501,6,243,507,10,238,499,12,423,887,70,375,869,64,392,849,58,369,834,40,232,483,0,4
"5","Ada Township Precinct 5",1910,1374,0.71,502,818,47,468,848,34,440,844,55,469,874,18,429,901,18,438,870,33,439,839,34,775,1495,151,698,1469,145,765,1460,116,691,1443,104,404,838,0,5
"6","Ada Township Precinct 6",892,612,0.68,293,295,18,271,308,16,258,308,22,282,315,9,254,332,6,256,323,12,264,298,14,447,545,72,403,528,64,431,533,50,392,514,37,235,306,0,6
"7","Ada Township Precinct 7",1078,793,0.73,376,394,19,368,396,16,326,411,38,363,419,6,325,441,8,320,436,18,330,400,30,589,725,89,517,714,95,553,691,89,511,689,68,309,403,0,7
"8","Ada Township Precinct 8",1120,816,0.72,357,439,14,343,439,18,308,456,25,351,451,7,316,472,16,327,451,15,325,435,15,565,767,97,516,766,83,532,751,84,506,752,71,290,444,0,8
"9","Algoma Township Precinct 1",1246,830,0.66,277,513,30,255,516,36,220,534,48,254,545,19,215,559,28,226,542,21,239,545,0,411,838,150,367,824,119,388,821,110,362,812,101,186,545,0,9
"10","Algoma Township Precinct 2",1512,1078,0.71,372,659,35,344,681,30,295,698,41,347,696,27,288,730,21,319,689,17,313,695,0,531,1186,116,477,1160,102,482,1151,97,452,1137,85,249,705,0,10
"11","Algoma Township Precinct 3",1597,1108,0.69,360,695,40,365,687,35,299,715,54,367,698,22,284,760,27,308,721,27,317,746,0,546,1161,162,497,1147,132,521,1153,113,491,1125,110,278,708,0,11
"12","Algoma Township Precinct 4",1731,1092,0.63,441,587,47,423,585,52,381,596,66,432,615,26,390,624,37,418,599,28,407,615,0,699,1007,181,622,990,147,649,961,138,610,943,129,366,609,0,12
"13","Algoma Township Precinct 5",2098,1452,0.69,611,795,29,559,795,43,495,809,63,578,824,23,480,888,26,547,802,24,500,836,0,901,1405,180,791,1368,142,828,1359,122,773,1316,102,454,782,0,13
"14","Alpine Township Precinct 2",1344,835,0.62,439,351,36,425,351,38,374,368,53,409,389,22,392,391,25,396,372,25,412,377,0,677,592,143,657,606,106,666,583,100,614,585,102,389,358,0,14
"15","Alpine Township Precinct 3",2208,1494,0.67,727,697,55,699,702,56,607,749,86,709,729,35,597,819,33,629,749,36,635,760,0,1138,1202,212,1055,1194,199,1094,1176,178,1034,1144,173,581,768,0,15
"16","Alpine Township Precinct 5",1013,694,0.68,261,408,19,240,409,33,218,430,29,251,419,15,215,443,19,224,426,18,232,433,0,385,691,101,342,694,88,364,678,87,344,671,71,187,445,0,16
"17","Alpine Township Precinct 6",1936,672,0.34,463,152,47,456,148,46,430,145,61,446,161,43,430,180,30,436,155,41,453,171,0,717,245,150,703,256,102,710,248,96,690,252,91,444,162,0,17
"18","Bowne Township Precinct 1",2363,1677,0.7,429,1193,39,410,1188,42,351,1217,57,427,1193,31,368,1225,46,380,1179,59,364,1189,44,619,1994,216,568,1951,181,608,1942,149,543,1936,141,340,1165,0,18
"19","Byron Township Precinct 1",2421,1747,0.72,414,1264,54,387,1269,57,325,1293,78,389,1311,34,323,1329,51,326,1311,39,266,1383,42,600,2263,217,532,2221,173,559,2178,168,533,2140,158,332,1250,0,19
"20","Byron Township Precinct 2",2599,1956,0.75,581,1319,31,546,1330,37,453,1363,69,559,1353,18,426,1444,26,472,1362,29,397,1448,34,865,2404,154,791,2363,162,801,2333,179,742,2331,133,459,1301,0,20
"21","Byron Township Precinct 3",2685,1108,0.41,540,488,62,535,485,58,488,495,76,508,528,45,501,517,38,495,511,41,461,546,47,777,860,178,759,850,144,768,834,137,754,847,129,498,502,0,21
"22","Byron Township Precinct 4",2009,1514,0.75,317,1161,30,321,1141,37,260,1174,51,339,1147,19,260,1196,28,271,1164,27,227,1213,26,494,2062,131,444,2015,125,477,1977,112,427,1961,106,257,1132,0,22
"23","Byron Township Precinct 5",2372,1731,0.72,391,1299,31,365,1295,37,303,1326,52,374,1324,15,298,1362,27,304,1320,29,241,1390,40,560,2294,169,496,2270,123,505,2262,120,471,2215,120,300,1286,0,23
"24","Byron Township Precinct 6",1468,1077,0.73,344,693,33,328,695,32,274,722,44,325,724,15,268,761,20,286,725,17,241,779,21,491,1266,119,438,1225,110,467,1206,105,408,1195,100,272,700,0,24
"25","Byron Township Precinct 7",2234,1469,0.65,485,931,41,475,929,35,403,963,59,452,968,26,390,1007,29,402,958,34,335,1031,46,701,1625,174,677,1603,144,709,1575,123,639,1578,125,392,924,0,25
"26","Byron Township Precinct 8",2169,1526,0.7,589,892,36,572,881,41,504,915,62,586,903,23,502,942,31,506,911,32,436,979,40,899,1572,182,846,1581,148,875,1548,145,836,1536,126,501,863,0,26
"27","Caledonia Township Precinct 1",1133,758,0.66,298,421,31,279,438,22,260,429,42,283,445,17,249,474,16,283,428,19,271,413,37,460,749,93,429,729,82,450,718,83,415,703,70,0,539,0,27
