"","Precinct","RegisteredVoters","BallotsCast","Turnout","Bill Schuette / Lisa Posthumus Lyons (REP)","Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
","Bill Gelineau / Angelique Chaiser Thomas (LIB)","Todd Schleiger / Earl P. Lackie (UST)","Jennifer V. Kurland / Charin H. Davenport (GRN)","Keith Butkovich / Raymond Warner (NLP)","Mary Treder Lang (REP)","Jocelyn Benson (DEM)","Gregory Scott Stempfle (LIB)","Robert Gale (UST)","Tom Leonard (REP)","Dana Nessel (DEM)","Lisa Lane Gioia (LIB)","Gerald T. Van Sickle (UST)","Chris Graveline (NPA)","John James (REP)","Debbie Stabenow (DEM)","George E. Huffman III (UST)","Marcia Squier (GRN)","John Howard Wilhelm (NLP)","Bill Huizenga (REP)","Rob Davidson (DEM)","Ronald E. Graeser (UST)","Justin Amash (REP)","Cathy Albro (DEM)","Ted Gerrard (UST)","Aric Nesbitt (REP)","Garnet Lewis (DEM)","Erwin Haas (LIB)","Robert M. Alway (GRN)","Peter MacGregor (REP)","Craig Beach (DEM)","Nathan Hewer (LIB)","Chris Afendoulis (REP)","Winnie Brinks (DEM)","Robert VanNoller (LIB)","Louis Palus (WCP)","Steven Johnson (REP)","Ron Draayer (DEM)","Jamie Lewis (LIB)","Lynn Afendoulis (REP)","Bill Saxton (DEM)","Mark E. Huizenga (REP)","Meagan L. Carr (DEM)","Daniel Allen Schutte (REP)","David LaGrand (DEM)","Jacob Straley (GRN)","Amanda Brand (REP)","Rachel Hood (DEM)","Tommy Brann (REP)","Dana Knight (DEM)","Patty Malowney (LIB)","Brandon Hoezee (UST)","Thomas A. Albert (REP)","Lauren Taylor (DEM)","Sue Norman (NPA)","Tami Carlone (REP)","Richard Zeile (REP)","Judith P. Pritchett (DEM)","Tiffany Tilley (DEM)","Scotty Boman (LIB)","John J. Tatar (LIB)","Karen Adams (UST)","Douglas Levesque (UST)","Sherry A. Wells (GRN)","Mary Anne Hering (WCP)","Logan R. Smith (WCP)","AndreaFischer
          Newman  (REP)
","Andrew
          Richner (REP)
","Jordan
          Acker (DEM)
","Paul
          Brown (DEM)
","JamesLewis
          Hudler (LIB)
","John
          Jascob (LIB)
","Joe
          Sanger (UST)
","CrystalVan
          Sickle (UST)
","KevinA.
          Graves (GRN)
","MargeKatchmark
          Sallows (NLP)
","Dave
            Dutch (REP)
","Mike
            Miller (REP)
","BriannaT.
            Scott (DEM)
","KellyCharron
            Tebay  (DEM)
","Bruce
            Campbell  (LIB)
","Tim
            Orzechowski  (LIB)
","JanetM.
            Sanger  (UST)
","JohnPaul
            Sanger  (UST)
","Aaron
            Mariasy  (GRN)
","BridgetteR.
            Abraham-Guzman (NLP)
","Diane
           Dunaskiss (REP)
","David
           Nicholson (REP)
","BryanC.
           Barnhill (DEM)
","Anil
           Kumar (DEM)
","Jon
           Elgas  (LIB)
","JohnT.
           Hargenrader  (LIB)
","ChristineC.
           Schwartz (UST)
","MarcJoseph
           Sosnowski  (UST)
","TheodoreVonk  (REP)","DeborahHavens  (DEM)","EmilyPostBrieve  (REP)","JimSaalfeld  (REP)","AugustTreu  (DEM)","JillMartinez  (REP)","MonicaSparks  (DEM)","CharlotteAikens  (GRN)","JessicaAnnTyson  (REP)","BetsyMelton   (DEM)","KyleBrethauer  (REP)","CarolM.Hennessy  (DEM)","JoelHerbertTownsend  (REP)","JimTalen  (DEM)","JennaVandeKamp  (REP)","DavidBulkowski  (DEM)","CourtneyPanter  (REP)","RobertWomack  (DEM)","DanKoorndyk  (REP)","StephenWooden  (DEM)","LaurelAbraham  (REP)","PhilSkaggs  (DEM)","ThomasAntor  (REP)","JeremiahAnway  (DEM)","RogerC.Morgan  (REP)","DianeJones  (REP)","KariSmith  (DEM)","MandyBolter  (REP)","NevilleJ.Mark  (DEM)","StanStek  (REP)","PamDeGryse  (DEM)","StanPonstein  (REP)","MikeJohnson  (DEM)","HaroldVoorhees  (REP)","MattKallman  (REP)","BobSmith  (DEM)"
"1","Ada Township Precinct 1",1184,871,"73%",442,399,12,2,2,1,439,396,13,6,481,335,12,3,15,465,389,3,4,2,NA,NA,NA,482,344,20,NA,NA,NA,NA,NA,NA,NA,472,354,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,367,20,395,377,325,304,32,23,10,2,8,8,8,412,375,291,273,20,15,5,16,15,11,381,386,311,287,26,21,5,6,8,8,388,357,286,271,24,24,12,6,NA,NA,NA,454,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Ada Township Precinct 2",2221,1588,"71%",809,731,22,6,5,1,809,709,22,4,840,641,22,3,24,856,706,4,6,1,NA,NA,NA,907,615,21,NA,NA,NA,NA,NA,NA,NA,871,650,23,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,635,49,710,667,603,574,56,36,8,6,20,26,15,699,659,540,520,39,42,13,33,29,16,684,672,577,534,43,26,15,7,14,4,693,618,515,477,49,32,26,11,NA,NA,NA,827,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Ada Township Precinct 3",1308,942,"72%",525,386,16,3,2,1,530,366,17,6,539,348,17,2,3,558,367,1,5,1,NA,NA,NA,554,341,24,NA,NA,NA,NA,NA,NA,NA,535,357,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,356,26,492,472,316,278,44,21,7,4,9,6,4,498,462,290,259,29,32,9,11,9,10,472,473,292,282,28,23,10,8,7,8,481,453,267,263,34,26,17,3,NA,NA,NA,534,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ada Township Precinct 4",1038,785,"75%",499,265,6,2,3,0,494,262,11,4,515,226,15,1,8,502,267,0,7,0,NA,NA,NA,501,258,6,NA,NA,NA,NA,NA,NA,NA,507,243,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,238,12,457,430,222,201,22,13,6,4,9,9,7,449,420,191,184,18,10,7,10,14,5,418,431,204,188,15,19,4,4,14,2,436,398,186,183,13,12,9,6,NA,NA,NA,483,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ada Township Precinct 5",1910,1374,"71%",818,502,32,4,9,0,848,468,28,6,844,440,35,6,14,874,469,6,9,3,NA,NA,NA,901,429,18,NA,NA,NA,NA,NA,NA,NA,870,438,26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,439,34,777,718,395,380,45,30,17,8,16,23,12,752,717,368,330,31,34,17,25,21,17,727,733,398,367,35,33,15,11,11,11,740,703,352,339,41,29,26,8,NA,NA,NA,838,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Ada Township Precinct 6",892,612,"68%",295,293,10,2,4,0,308,271,16,0,308,258,16,1,5,315,282,3,5,1,NA,NA,NA,332,254,6,NA,NA,NA,NA,NA,NA,NA,323,256,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,264,14,278,267,226,221,24,15,8,1,13,8,3,275,253,206,197,18,14,3,9,11,9,269,264,229,202,17,13,4,4,11,1,264,250,197,195,15,12,8,2,NA,NA,NA,306,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Ada Township Precinct 7",1078,793,"73%",394,376,12,0,7,0,396,368,15,1,411,326,18,4,16,419,363,0,3,3,NA,NA,NA,441,325,8,NA,NA,NA,NA,NA,NA,NA,436,320,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,330,30,368,357,305,284,24,24,11,3,14,10,3,365,349,266,251,19,25,7,16,12,16,343,348,294,259,20,20,9,5,20,15,355,334,265,246,29,18,17,4,NA,NA,NA,403,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Ada Township Precinct 8",1120,816,"72%",439,357,11,1,2,0,439,343,16,2,456,308,15,3,7,451,351,1,4,2,NA,NA,NA,472,316,16,NA,NA,NA,NA,NA,NA,NA,451,327,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,325,15,403,364,293,272,25,18,9,6,10,15,14,403,363,261,255,20,21,4,12,12,14,371,380,272,260,21,18,15,7,10,13,389,363,253,253,26,18,18,9,NA,NA,NA,444,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Algoma Township Precinct 1",1246,830,"66%",513,277,20,5,4,1,516,255,19,17,534,220,18,11,19,545,254,8,8,3,NA,NA,NA,559,215,28,NA,NA,NA,NA,542,226,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439,399,210,201,26,26,11,9,11,38,29,426,398,193,174,16,18,22,39,16,8,421,400,201,187,25,19,24,21,9,12,426,386,191,171,21,20,43,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Algoma Township Precinct 2",1512,1078,"71%",659,372,14,6,11,2,681,344,17,13,698,295,18,10,13,696,347,8,12,7,NA,NA,NA,730,288,21,NA,NA,NA,NA,689,319,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,579,274,257,26,15,8,4,13,29,21,591,569,241,236,16,20,8,23,17,18,577,574,255,227,26,18,20,12,7,14,584,553,239,213,28,17,28,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
